system_ind,tag,num_vertices,iso_q,fractal,eri,convexity,area_in_me,corners,average_distance,neighbors_within_50m,first_neighbor,distance_to_nearest_road,centroid_elevation,orientation,street_alignment,ccd_means,ccd_stdev,cwa,elongation,squ_comp,squareness,perimeter,average_alignment,first_neighbor_alignment
00280000000000008751,Tier 1,5,0.7832071456966146,1.0008380552706122,0.9999755745950595,1.0,28.14519055650923,4,7.972693404036017,111,5.2767403080648,25.4496983222345,1949,5.446194419654006,0.17627117837403716,3.7543871077087427,0.001121757781914512,2.0729526957970066,0.900500597340233,0.9972103096200837,0.05038547768606705,21.20846365388673,4.70316149824788,1.0059674493410569
00280000000000008755,Tier 4,5,0.7681278114648626,1.0059622937841803,0.9999859195148766,1.0,41.82009054955689,4,32.00212762931146,6,10.434707869043114,0.0,1451,7.4352570042516675,5.22307190761515,4.664706831322184,0.00312639985564103,2.75612995149067,0.7418644317186734,0.9780107049679388,0.07905874264464785,26.102162652315943,4.7822533697659875,4.241118868797031
00280000000000008756,Tier 1,5,0.7744885517306729,1.0027512012984723,1.0002223706052158,1.0,162.09979039195213,4,21.406692207257585,33,18.12806478902147,14.716135385141468,1663,24.150334737345943,0.41648064428743226,9.110776722486449,0.02155965717739793,5.244337201321758,0.7861868913401288,0.9861094510081575,0.2788008980145378,51.18451254746695,4.2189077357614,4.600424419429174
0028000000000000875b,Tier 4,5,0.7502577017092985,1.0092450263488264,1.000369521504503,0.9999999999999998,141.93336007973716,4,26.349780535520274,21,21.145486773728773,1.4018828014163958e-11,1506,39.524183949232196,30.621176686888447,8.791536388271371,0.02542311779576969,5.607247224254358,0.6485532947034207,0.9552577745583968,0.36200014583032214,48.65651355124708,17.556440962348805,22.226664337931908
0028000000000000875c,Tier 1,5,0.7720565218731137,1.0053464901843019,1.0002137795166135,1.0,24.72852512416065,4,13.938963822956236,27,9.59601225118535,28.90301527096151,1993,27.232554307506206,6.609610397913002,3.570388452987502,0.00940190584170579,2.07783674433138,0.7668834074975703,0.9830128944195363,0.3084659256147724,20.02799145596928,12.621778345519772,6.077281875606417
0028000000000000875e,Tier 4,5,0.3953690734497613,1.1338553618680582,1.0001747789919835,1.0,169.3261550084635,4,25.060550672470963,14,18.99069939317091,22.886796087870117,1527,15.384698390530048,3.3235742996764372,15.832454503291615,0.011350847792017775,24.393949012812172,0.17314186498664813,0.5033995390815372,0.2380634717830894,73.21011181624834,4.1465225228859115,1.4686298382834195
0028000000000000875f,Tier 1,5,0.7764456119840693,1.0037482618578328,1.000038703580091,1.0,21.414101168312207,4,30.634091509403316,26,27.594073267957988,45.691732541254076,1619,3.2346436611584863,30.618640876425047,3.3005693583646325,0.0014541391625575706,1.8797646254425981,0.8064845787058714,0.9886012575142112,0.05165003367200427,18.565334408215513,14.768226667348268,24.404688410771257
00280000000000008760,Tier 2,5,0.7743933480594313,1.0045015253266103,1.0000834291697154,1.0,23.057538875420274,4,11.852063328906985,88,8.100779534917258,23.47246867097697,1613,5.46908155826867,13.89933804952247,3.4376190823740904,0.0036295919042207627,1.9768559110027102,0.7872076813615407,0.9859882339291287,0.11547556584325136,19.311322588071405,10.558443570227613,12.18955035858636
00280000000000008761,Tier 1,5,0.7829323959569374,1.0008254035690822,1.0000957752801707,0.9999999999999999,45.2764366410174,4,14.41518127124896,35,11.330947361744306,39.71682192308063,2137,16.538098543004722,13.61569638072352,4.76528075723046,0.009279698146500684,2.639177035821934,0.8908776123991913,0.9968604873866213,0.22455242747866322,26.914436681638634,9.128304171343919,0.24032782986584778
00280000000000008762,Tier 2,5,0.7191110465648362,1.023290954807092,1.0000337059513804,1.0000000000000002,44.241445816671636,4,11.33268055590051,49,6.995924256800018,23.000170500989206,1999,2.8042884340337935,5.4355314615539,5.108620829267799,0.0009114168517252991,3.6547352209721993,0.5496405075088029,0.9156006215422383,0.024213026303733898,27.751346003203224,8.218003065215736,4.705600513573486
00280000000000008763,Tier 2,5,0.7831161711589125,1.000785963948553,1.0001467964564505,1.0,40.655063673420834,4,16.117272111829,38,13.55004531918445,1.6441592032015129,1550,22.463664939620514,16.146082223312362,4.51492783561012,0.014206117496051076,2.501396002368104,0.8929487968113237,0.9970944772411178,0.36264540693644065,25.503645621699558,5.4579148993401105,8.587886252997833
00280000000000008766,Tier 4,5,0.6123416668971751,1.0803343812385051,1.0002754200465227,1.0,22.26437489829496,4,45.34375424403241,3,19.642610559643774,0.0,1469,42.95269474917612,36.42012781214209,4.164444057551666,0.01006485379139737,4.120771864914905,0.3606706095010159,0.77965762518253,0.42675918382126454,21.325359516139205,20.812885189255503,24.525357892291055
00280000000000008767,Tier 1,5,0.7728812864589248,1.0039881332086187,1.0002546996146844,1.0,56.385304086003096,4,21.944876752604653,23,16.550526470274356,61.79317175378747,2070,30.417489368664974,20.517703021453542,5.38432728889453,0.017086576250077746,3.123910946590785,0.7727179750424875,0.9840630173052886,0.37492869245961913,30.218977968748895,6.115401440699804,1.6762200867924548
00280000000000008769,Tier 1,5,0.7845656830033579,1.0003169923050446,1.0000235024997572,1.0,28.492948647614302,4,15.733262517475788,29,7.629545085186233,1.4447495502216183,2042,5.332802768741203,5.74109324451495,3.7706723697663653,0.0029427291007741627,2.070201406954479,0.935602291290072,0.9989400530420273,0.08961972834410048,21.31886809068104,4.66570046098918,2.78346160460282
0028000000000000876b,Tier 2,5,0.7719203846295607,1.004792282655376,0.9999449980748877,1.0,37.177047537585324,4,20.651981007139444,25,16.967524558202417,0.6094423984558712,1467,3.7361177425156455,2.9844513037221674,4.377829300692735,0.0018505946593434296,2.543648135678139,0.7689964540563499,0.9828395590975334,0.04689323712602089,24.554959999975345,8.946340623014837,8.651955163947818
0028000000000000876c,Tier 4,5,0.7399148493643787,1.023602521658566,0.9999621009598282,0.9999999999999999,12.57751810590187,4,12.001919674361044,16,8.066492594415143,31.261011050482065,1482,9.693278266792987,0.14483823353739922,2.651584655744828,0.002540717739801907,1.7572105285830053,0.6122544978204287,0.9420888459474879,0.11916323661396433,14.583328119424774,22.912566134024868,31.75066099617655
0028000000000000876e,Tier 4,5,0.7357522035701844,1.0149917083051156,1.0003643186247704,1.0,78.2007741031079,4,37.095893960951074,7,22.578856956129293,0.0,1565,23.295405706741803,6.485016836348535,6.649215935145598,0.014348677454825851,4.483922543556129,0.5964603925453273,0.9367888007115945,0.28064792059134547,36.47866711273712,9.92745868382072,20.66336066322421
0028000000000000876f,Tier 2,5,0.746492402897517,1.0169841850397243,0.9998476632408947,1.0,20.002926925123184,4,9.362440459623182,81,4.703882729674573,5.142871897538967,1947,2.6037389484333175,20.078053139355703,3.315704093892154,0.0006412694963106239,2.1408438162345305,0.6367737393514394,0.9504636472134921,0.0503596266620292,18.30847109024083,12.421800736468612,13.150154827057591
00280000000000008771,Tier 4,5,0.6123152577646332,1.050964760363207,1.000577279922636,1.0,132.67640192904736,4,34.216302998815216,8,27.46216736279133,10.097454788436117,1833,38.83736646081968,24.613054862324418,10.173416210132233,0.02238107849632467,10.065608064530679,0.3601749049094198,0.7796240000306353,0.39460240995632745,52.095392394339314,17.28729727017278,12.784413050276854
00280000000000008778,Tier 2,5,0.760812790889423,1.0089406138816557,1.0002882062733802,1.0,35.17522901245836,4,17.021928268865505,45,12.605178475761079,4.313965670392431,1699,25.043746568918237,13.008350440441788,4.32031373752075,0.009575636303511575,2.6372716498352804,0.6970768003218928,0.9686969315007374,0.27039177075414855,24.065808596323727,6.39958319925897,4.316902886844147
0028000000000000877a,Tier 2,5,0.7383459984465577,1.0183314219863933,0.9999955124884022,0.9999999999999999,29.20857049669086,4,26.96553135747596,14,13.728860383194988,0.01731414899263436,1546,8.415013580001926,13.726700160097806,4.048888590176123,0.004089692809140546,2.7004790244922368,0.6067544684337487,0.9400913229191243,0.13024707526578183,22.247301078535948,10.14990806744521,5.542538554960146
0028000000000000877b,Tier 4,5,0.6791780045559428,1.033631467007342,1.000119951223541,1.0,75.52338623487509,4,20.701400857014814,11,12.838359694239953,0.5943277768016447,1527,6.759657709967328,5.301466380886282,7.02724661603151,0.003786711032668363,5.744118708564767,0.4619489182148153,0.8647562933149449,0.08106328726092471,37.30919351279787,5.448649416285354,11.289119942447613
0028000000000000877e,Tier 4,5,0.5060411367745764,1.107542616301317,1.0002606589721903,0.9999999999999998,59.77535756219699,4,11.556423418115994,41,10.30912481094099,22.219608354567395,1536,29.576435631600305,11.950597558590076,7.91751211786762,0.011170448897077587,9.972886256068676,0.25260101619460124,0.644311586604126,0.3340519411392897,38.466795930840775,4.021036670562461,4.42508574083007
